-0.04753   +0.00000   +0.14900
-0.01483   +0.00010   +0.13650
-0.06393   +0.02830   +0.13650
-0.06383   -0.02830   +0.13650
-0.04123   -0.04580   +0.11630
-0.01093   -0.02820   +0.11630
-0.01103   +0.02840   +0.11630
-0.04133   +0.04580   +0.11630
-0.09033   +0.01740   +0.11630
-0.09023   -0.01760   +0.11630
-0.08403   -0.02840   +0.08370
-0.05373   -0.04580   +0.08370
-0.00473   -0.01740   +0.08370
-0.00483   +0.01760   +0.08370
-0.05383   +0.04580   +0.08370
-0.08413   +0.02820   +0.08370
-0.08023   -0.00010   +0.06350
-0.03113   -0.02830   +0.06350
-0.03123   +0.02830   +0.06350
