 0.00000    0.00000    0.04900
 0.03270    0.00010    0.03650
-0.01640    0.02830    0.03650
-0.01630   -0.02830    0.03650
 0.00630   -0.04580    0.01630
 0.03660   -0.02820    0.01630
 0.03650    0.02840    0.01630
 0.00620    0.04580    0.01630
-0.04280    0.01740    0.01630
-0.04270   -0.01760    0.01630
-0.03650   -0.02840   -0.01630
-0.00620   -0.04580   -0.01630
 0.04280   -0.01740   -0.01630
 0.04270    0.01760   -0.01630
-0.00630    0.04580   -0.01630
-0.03660    0.02820   -0.01630
-0.03270   -0.00010   -0.03650
 0.01640   -0.02830   -0.03650
 0.01630    0.02830   -0.03650
